datetime,eet,par,SM,Temp,CO2,gpp
2004年1月,0.522903226,13.07077548,0.332258065,-10.3583871,376.8,2.957472
2004年2月,1.264482759,20.69769103,0.304137931,-3.561034483,377.4,2.4192
2004年3月,2.033548387,24.04247226,0.325483871,1.168387097,387.7461506,10.679904
2004年4月,3.637,32.173404,0.352333333,7.223,390.0094336,49.393584
2004年5月,5.256451613,38.54464258,0.319677419,13.70129032,386.1116756,170.75016
2004年6月,6.082,43.134168,0.273333333,16.67733333,374.9843263,349.38
2004年7月,6.075483871,37.63614194,0.259032258,19.62290323,365.0811755,395.321472
2004年8月,5.496129032,36.27804774,0.221612903,19.49483871,373.4481995,347.174208
2004年9月,4.431,30.828888,0.253,16.16566667,378.0560371,253.78488
2004年10月,2.511612903,21.21497419,0.289032258,8.866129032,381.9923885,102.3192
2004年11月,1.129,14.546004,0.306,3.806,385.8322894,16.440624
2004年12月,0.496129032,9.342824516,0.317096774,-1.118709677,391.6649633,4.798656
2005年1月,0.554193548,12.00839226,0.332903226,-6.428709677,389.9715517,1.458864
2005年2月,1.267142857,19.39061571,0.325357143,-2.333214286,391.498806,1.671408
2005年3月,2.055483871,27.48486194,0.323548387,-1.042580645,389.0812315,2.235168
2005年4月,4.161,36.858288,0.376333333,8.515,388.195725,3.025296
2005年5月,4.74483871,32.87893935,0.320645161,9.502258065,385.7441463,23.152608
2005年6月,6.219333333,39.528468,0.273,18.63033333,373.2483821,361.690704
2005年7月,6.359354839,37.58971355,0.260645161,20.09258065,379.5873925,418.747104
2005年8月,5.376774194,33.79532516,0.195483871,20.26709677,375.8980645,316.146672
2005年9月,3.813666667,29.371656,0.189333333,16.71233333,374.8378889,182.783088
2005年10月,1.875806452,12.75865548,0.301612903,9.553225806,381.5097214,54.86832
2005年11月,1.178,11.834316,0.331333333,4.729666667,392.0560805,3.004128
2005年12月,0.59483871,10.94530065,0.326129032,-2.840322581,395.159398,0
2006年1月,0.680322581,10.15986194,0.344516129,-0.48,393.8405737,6.41952
2006年2月,1.096428571,18.90335571,0.336428571,-3.762857143,390.4537955,3.24
2006年3月,2.322258065,28.84698581,0.303548387,0.946129032,394.9956609,5.002128
2006年4月,3.845333333,34.54584,0.296,7.968666667,387.8018529,21.637152
2006年5月,4.616774194,32.92069935,0.300322581,11.96,382.516721,105.920784
2006年6月,6.169333333,32.683752,0.298666667,17.232,371.4084875,406.358208
2006年7月,6.807419355,42.41710452,0.268387097,21.12290323,371.402689,476.736192
2006年8月,5.20516129,37.17625935,0.229032258,18.18419355,371.8644115,326.199312
2006年9月,3.535333333,27.712788,0.238333333,14.33533333,376.9890519,208.283616
2006年10月,2.330645161,20.01478065,0.295806452,8.756129032,383.3394518,74.83752
2006年11月,1.217,12.230544,0.307333333,6.719,385.7318105,10.18224
2006年12月,0.703548387,9.051108387,0.31516129,3.370967742,398.0373413,10.072944
2007年1月,0.700322581,10.94203742,0.322258065,-3.143548387,396.1104392,2.242512
2007年2月,1.082857143,19.91747571,0.288214286,-7.131071429,389.91221,4.630608
2007年3月,2.210322581,25.31238968,0.294516129,-0.13,388.4735598,19.329408
2007年4月,3.5,27.138552,0.374333333,5.192333333,393.6422014,66.400992
2007年5月,5.563225806,43.39431871,0.318064516,13.91258065,390.3930148,206.81784
2007年6月,5.876333333,42.413472,0.281666667,16.90766667,379.8814573,298.636416
2007年7月,6.570322581,40.98670839,0.283870968,19.22935484,375.4440128,379.988064
2007年8月,6.828709677,37.76907484,0.245806452,19.0116129,369.6271647,302.803056
2007年9月,5.086333333,34.151448,0.213666667,15.96733333,378.0056658,226.867824
2007年10月,2.94,21.08873032,0.250645161,12.15096774,391.2233098,107.61336
2007年11月,1.083666667,13.836564,0.305666667,2.214333333,402.4681379,4.671216
2007年12月,0.4,8.816992258,0.313548387,-3.55483871,394.3986728,1.665792
2008年1月,0.745806452,12.05338065,0.327096774,-2.986129032,396.3514826,2.116368
2008年2月,0.987241379,14.62481379,0.388965517,-3.525517241,398.4620285,1.899936
2008年3月,1.939032258,24.41206452,0.409032258,-0.408709677,394.8672367,4.535136
2008年4月,3.993,35.4498,0.343,8.346666667,394.4223464,28.826928
2008年5月,5.064516129,38.95350968,0.317096774,11.14935484,394.7933128,88.655472
2008年6月,5.979666667,38.75628,0.294666667,17.47966667,387.5501812,402.461568
2008年7月,6.219354839,40.07821935,0.281290323,19.8116129,380.4590298,437.655744
2008年8月,5.15516129,36.93727742,0.28516129,17.36,381.3504118,336.022992
2008年9月,3.698333333,28.3014,0.28,15.10933333,386.0502408,205.801344
2008年10月,2.18483871,21.0248129,0.285806452,8.316451613,395.295609,87.996672
2008年11月,0.961,10.89276,0.314,2.796,400.1664846,1.095552
2008年12月,0.55483871,7.831741935,0.351290323,-2.081290323,399.1816782,3.170448
2009年1月,0.563548387,13.28002258,0.34483871,-8.035806452,400.2020145,9.39816
2009年2月,1.4075,18.64992857,0.326428571,-2.898571429,397.6105341,3.800304
2009年3月,2.423225806,28.1223871,0.332258065,0.680645161,398.957855,5.790096
2009年4月,4.443333333,31.00947,0.322666667,8.213333333,397.8670014,40.944528
2009年5月,5.938387097,36.62869355,0.306451613,12.93419355,394.659257,154.505232
2009年6月,6.384666667,33.11189177,0.298666667,15.53766667,386.6695467,336.500352
2009年7月,6.189677419,38.9376898,0.291612903,17.76548387,380.5576194,385.505568
2009年8月,6.320322581,38.17925486,0.261290323,19.38419355,379.9016499,400.568112
2009年9月,3.781666667,31.42196686,0.228666667,13.87733333,378.7695867,337.820544
2009年10月,1.817419355,16.48785035,0.294193548,7.526129032,390.6670235,111.92256
2009年11月,1.152666667,12.88794069,0.296333333,5.806666667,397.9282086,17.781552
2009年12月,0.545483871,10.12197075,0.306451613,-3.319354839,399.2820998,9.646992
2010年1月,0.654516129,11.72264516,0.305483871,-4.831935484,400.7791515,10.125216
2010年2月,1.106071429,16.49031429,0.304642857,-3.280714286,398.3279493,6.378048
2010年3月,2.527419355,23.82956129,0.337419355,4.313870968,399.7667645,21.788352
2010年4月,4.739,35.4192,0.344333333,9.650333333,399.1139947,90.032688
2010年5月,6.209032258,42.07819355,0.282258065,15.09903226,396.2545764,321.517728
2010年6月,6.446333333,38.0556,0.268,18.484,388.2837716,513.142128
2010年7月,7.645806452,42.5259871,0.220322581,21.97290323,383.5213155,447.933456
2010年8月,6.217096774,36.45917419,0.209354839,20.10774194,381.2126666,354.186
2010年9月,4.139,27.58812,0.179,17.00666667,386.7727647,238.978944
2010年10月,2.250967742,18.84065806,0.273225806,9.252580645,395.2733751,101.015424
2010年11月,1.231,12.96048,0.290333333,3.626666667,400.3600887,26.385696
